GEO,Mean,Median,Standard Deviation,Minimum,Maximum
Alberta,6.654035087719299,6.3,2.5402543772329955,2.9,15.9
British Columbia,8.282456140350877,7.9,2.782207011499901,3.7,17.1
Canada,8.294210526315789,7.7,1.8381864748260632,5.0,14.1
Manitoba,6.491929824561404,5.9,1.7472463282108677,3.7,12.8
New Brunswick,11.966140350877193,11.9,1.869549022606677,6.3,16.8
Newfoundland and Labrador,16.983333333333334,17.05,2.6145972772275137,11.2,24.0
Nova Scotia,10.82157894736842,10.4,1.917931561454736,5.2,17.2
Ontario,7.423859649122807,7.0,1.9005389619317496,4.3,13.7
Prince Edward Island,12.56561403508772,12.3,2.628485980605952,4.9,19.9
Quebec,9.688070175438597,9.4,2.3853606231812976,4.0,18.5
Saskatchewan,6.072105263157894,6.2,1.6033502236539128,2.2,12.4
