Province,p-value (Before vs During),p-value (Before vs After),p-value (During vs After)
Alberta,2.6093420340082564e-05,1.6496665061862602e-05,1.6496665061862602e-05
British Columbia,1.6496665061862602e-05,0.021016256227518675,2.077353660397198e-05
Canada,6.334248366623973e-05,1.6496665061862602e-05,1.6496665061862602e-05
Manitoba,7.857086098056302e-05,9.721654366930001e-05,2.077353660397198e-05
New Brunswick,0.0004024659086884892,3.269330273511375e-05,3.269330273511375e-05
Newfoundland and Labrador,0.001234575724641128,2.6093420340082564e-05,2.077353660397198e-05
Nova Scotia,0.000590594510107362,0.00018140976675221646,3.269330273511375e-05
Ontario,6.334248366623973e-05,0.23820423879927,5.093776013512916e-05
Prince Edward Island,0.003465908802244044,5.093776013512916e-05,1.6496665061862602e-05
Quebec,0.0002715540868845109,1.6496665061862602e-05,1.6496665061862602e-05
Saskatchewan,1.6496665061862602e-05,1.6496665061862602e-05,1.6496665061862602e-05
