REF_DATE,GEO,male population(1000),female population(1000),male labour force(1000),female labour force(1000),male fulltime employments(1000),female fulltime employments(1000),male unemployed(1000),female unemployed(1000),male unemployment rate(%),female unemployment rate(%),male participation rate(%),female participation rate(%),male employment rate(%),female employment rate(%),total population(1000),total labor force(1000),total fulltime employments(1000),total unemployed,total unemployment rate(%),total participation rate(%),total employment rate(%),covid cases,covid deaths
2019-01,British Columbia,2064.8,2138.3,1459.5,1337.3,1186.9,889.5,70.7,59.5,4.8,4.4,70.7,62.5,4.8,4.4,4203.1,2796.8,1779.0,130.2,4.596502581427993,66.52830291927387,4.596502581427993,0.0,0.0
2019-02,British Columbia,2067.1,2140.8,1459.4,1344.3,1188.0,897.7,65.6,61.1,4.5,4.5,70.6,62.8,4.5,4.5,4207.9,2803.7,1795.4,126.7,4.5,66.63169276836427,4.5,0.0,0.0
2019-03,British Columbia,2070.3,2144.0,1462.2,1345.2,1186.0,901.4,70.8,66.3,4.8,4.9,70.6,62.7,4.8,4.9,4214.3,2807.4,1802.8,137.1,4.85087440381558,66.58092209856915,4.85087440381558,0.0,0.0
2019-04,British Columbia,2074.7,2148.6,1465.7,1346.6,1181.9,922.4,71.1,64.1,4.9,4.8,70.6,62.7,4.9,4.8,4223.299999999999,2812.3,1844.8,135.2,4.849125091752896,66.58088224847869,4.849125091752896,0.0,0.0
2019-05,British Columbia,2078.3,2152.4,1469.2,1354.8,1193.1,920.9,62.1,64.4,4.2,4.8,70.7,62.9,4.2,4.8,4230.700000000001,2824.0,1841.8,126.5,4.505254449618267,66.73169215496253,4.505254449618267,0.0,0.0
2019-06,British Columbia,2082.0,2156.2,1469.7,1355.6,1187.9,918.3,72.9,60.6,5.0,4.5,70.6,62.9,5.0,4.5,4238.2,2825.3,1836.6,133.5,4.745623141899863,66.68259638525788,4.745623141899863,0.0,0.0
2019-07,British Columbia,2086.2,2160.9,1465.7,1347.5,1193.1,890.9,69.3,63.1,4.7,4.7,70.3,62.4,4.7,4.7,4247.1,2813.2,1781.8,132.4,4.699999999999999,66.28052553507098,4.699999999999999,0.0,0.0
2019-08,British Columbia,2089.0,2164.1,1469.3,1351.4,1183.0,898.5,73.9,68.4,5.0,5.1,70.3,62.4,5.0,5.1,4253.1,2820.7,1797.0,142.3,5.050882885424748,66.28025205144482,5.050882885424748,0.0,0.0
2019-09,British Columbia,2092.3,2167.8,1457.1,1344.9,1173.4,922.7,73.9,69.0,5.1,5.1,69.6,62.0,5.1,5.1,4260.1,2802.0,1845.4,142.9,5.1,65.73265416304781,5.1,0.0,0.0
2019-10,British Columbia,2094.6,2170.4,1476.1,1345.3,1197.6,916.1,72.3,68.6,4.9,5.1,70.5,62.0,4.9,5.1,4265.0,2821.4,1832.2,140.89999999999998,5.001777256740914,66.17446658851114,5.001777256740914,0.0,0.0
2019-11,British Columbia,2096.6,2172.8,1471.7,1341.4,1197.6,889.4,73.2,74.2,5.0,5.5,70.2,61.7,5.0,5.5,4269.4,2813.1000000000004,1778.8,147.4,5.254461985290674,65.87414625005857,5.254461985290674,0.0,0.0
2019-12,British Columbia,2098.4,2174.9,1464.6,1343.1,1193.5,897.9,68.7,70.6,4.7,5.3,69.8,61.8,4.7,5.3,4273.3,2807.7,1795.8,139.3,5.005370556712611,65.7283925771652,5.005370556712611,0.0,0.0
2020-01,British Columbia,2100.1,2177.0,1468.2,1338.0,1199.0,895.7,65.6,67.4,4.5,5.0,69.9,61.5,4.5,5.0,4277.1,2806.2,1791.4,133.0,4.75449486801805,65.62448621729676,4.75449486801805,0.0,0.0
2020-02,British Columbia,2102.1,2179.3,1478.1,1342.3,1210.3,895.2,84.5,69.3,5.7,5.2,70.3,61.6,5.7,5.2,4281.4,2820.4,1790.4,153.8,5.445492128742934,65.87156304012707,5.445492128742934,7.0,0.0
2020-03,British Columbia,2104.2,2182.0,1424.4,1274.6,1167.3,861.4,98.2,107.7,6.9,8.4,67.7,58.4,6.9,8.4,4286.2,2699.0,1722.8,205.9,7.663613457141524,62.96559656572256,7.663613457141524,877.0,16.0
2020-04,British Columbia,2105.4,2183.3,1343.7,1193.7,1048.3,779.5,154.1,147.5,11.5,12.4,63.8,54.7,11.5,12.4,4288.700000000001,2537.4,1559.0,301.6,11.95817380558211,59.16735374355865,11.95817380558211,1064.0,84.0
2020-05,British Columbia,2106.7,2184.8,1394.3,1255.3,1061.1,814.9,182.2,180.8,13.1,14.4,66.2,57.5,13.1,14.4,4291.5,2649.6,1629.8,363.0,13.761829197250378,61.77083537224747,13.761829197250378,625.0,64.0
2020-06,British Columbia,2109.6,2188.1,1455.2,1307.9,1085.5,828.2,184.8,166.5,12.7,12.7,69.0,59.8,12.7,12.7,4297.7,2763.1000000000004,1656.4,351.3,12.7,64.3159783139819,12.7,305.0,10.0
2020-07,British Columbia,2112.3,2191.1,1472.6,1302.3,1101.8,831.5,167.0,132.1,11.3,10.1,69.7,59.4,11.3,10.1,4303.4,2774.9,1663.0,299.1,10.689013338290655,64.45569782032813,10.689013338290655,541.0,17.0
2020-08,British Columbia,2113.9,2193.0,1482.7,1309.7,1114.1,821.0,169.3,130.9,11.4,10.0,70.1,59.7,11.4,10.0,4306.9,2792.4,1642.0,300.20000000000005,10.687143885393208,64.80449743434953,10.687143885393208,2077.0,13.0
2020-09,British Columbia,2116.0,2195.4,1465.4,1342.0,1130.5,850.3,141.9,103.4,9.7,7.7,69.3,61.1,9.7,7.7,4311.4,2807.4,1700.6,245.3,8.681583708308207,65.12449320406365,8.681583708308207,3145.0,26.0
2020-10,British Columbia,2117.5,2197.2,1476.3,1354.5,1132.4,858.3,134.4,101.3,9.1,7.5,69.7,61.6,9.1,7.5,4314.7,2830.8,1716.6,235.7,8.28522261107377,65.57518946856098,8.28522261107377,6092.0,33.0
2020-11,British Columbia,2118.9,2198.7,1474.0,1361.3,1147.7,886.3,119.3,104.2,8.1,7.7,69.6,61.9,8.1,7.7,4317.6,2835.3,1772.6,223.5,7.896303501945525,65.67884241245136,7.896303501945525,16901.0,147.0
2020-12,British Columbia,2119.6,2199.7,1475.4,1354.5,1189.9,875.9,105.5,110.5,7.2,8.2,69.6,61.6,7.2,8.2,4319.299999999999,2829.9,1751.8,216.0,7.709272335795153,65.5258213136388,7.709272335795153,17934.0,437.0
2021-01,British Columbia,2120.0,2200.6,1480.2,1368.9,1193.2,879.2,100.3,117.9,6.8,8.6,69.8,62.2,6.8,8.6,4320.6,2849.1000000000004,1758.4,218.2,7.716789334814608,65.92911169744943,7.716789334814608,17619.0,342.0
2021-02,British Columbia,2121.1,2202.2,1491.5,1362.2,1180.0,878.5,103.8,103.0,7.0,7.6,70.3,61.9,7.0,7.6,4323.299999999999,2853.7,1757.0,206.8,7.30562764554854,66.02121296232045,7.30562764554854,12722.0,166.0
2021-03,British Columbia,2122.3,2203.7,1496.4,1369.0,1179.2,871.4,97.9,102.2,6.5,7.5,70.5,62.1,6.5,7.5,4326.0,2865.4,1742.8,200.1,7.009408229311142,66.22097087378641,7.009408229311142,16704.0,97.0
2021-04,British Columbia,2123.8,2205.6,1470.3,1355.3,1168.0,890.7,105.0,92.9,7.1,6.9,69.2,61.4,7.1,6.9,4329.4,2825.6,1781.4,197.9,6.998110592691829,65.2263131149813,6.998110592691829,28026.0,111.0
2021-05,British Columbia,2126.2,2208.4,1486.4,1344.7,1191.0,887.3,105.2,94.4,7.1,7.0,69.9,60.9,7.1,7.0,4334.6,2831.1000000000004,1774.6,199.6,7.049051815623125,65.3146634060813,7.049051815623125,19200.0,136.0
2021-06,British Columbia,2129.0,2211.5,1505.0,1350.0,1180.9,878.4,102.8,88.9,6.8,6.6,70.7,61.0,6.8,6.6,4340.5,2855.0,1756.8,191.7,6.698099297315977,65.7578159198249,6.698099297315977,3636.0,50.0
2021-07,British Columbia,2132.3,2215.2,1506.3,1347.0,1189.7,881.4,97.9,86.1,6.5,6.4,70.6,60.8,6.5,6.4,4347.5,2853.3,1762.8,184.0,6.449046578493388,65.60656469235192,6.449046578493388,2574.0,22.0
2021-08,British Columbia,2137.2,2220.5,1505.1,1355.1,1201.8,890.1,95.3,86.3,6.3,6.4,70.4,61.0,6.3,6.4,4357.7,2860.2,1780.2,181.6,6.350955779424925,65.61015673405696,6.350955779424925,14280.0,36.0
2021-09,British Columbia,2141.6,2225.5,1498.0,1365.1,1183.3,915.4,91.7,85.5,6.1,6.3,69.9,61.3,6.1,6.3,4367.1,2863.1,1830.8,177.2,6.201921183394013,65.51738911405738,6.201921183394013,19088.0,115.0
2021-10,British Columbia,2145.6,2230.0,1505.5,1342.6,1194.1,917.4,91.2,71.8,6.1,5.3,70.2,60.2,6.1,5.3,4375.6,2848.1,1834.8,163.0,5.692284486698966,65.10355608373708,5.692284486698966,22065.0,234.0
2021-11,British Columbia,2149.5,2234.3,1510.6,1355.7,1189.9,919.3,93.9,68.5,6.2,5.1,70.3,60.7,6.2,5.1,4383.8,2866.3,1838.6,162.4,5.63936082850495,65.40714904877046,5.63936082850495,12005.0,166.0
2021-12,British Columbia,2153.0,2238.3,1500.0,1347.0,1204.9,921.9,90.8,59.5,6.1,4.4,69.7,60.2,6.1,4.4,4391.3,2847.0,1843.8,150.3,5.233488944048458,64.85773233438844,5.233488944048458,20723.0,92.0
2022-01,British Columbia,2155.4,2240.9,1485.0,1371.3,1207.8,916.9,82.4,64.0,5.5,4.7,68.9,61.2,5.5,4.7,4396.3,2856.3,1833.8,146.4,5.092220731069308,64.9751245365421,5.092220731069308,84055.0,183.0
