City,MSE,MAE
Alberta,6.286070358006506,1.5407242430265642
British Columbia,1.1387284162363083,0.7530313078742042
Canada,4.7839175275834105,1.6105356105829471
Manitoba,2.4143714282428888,1.3892492970878416
New Brunswick,1.4948358051085178,1.0113433155859821
Newfoundland and Labrador,3.9864475078379797,1.4755783666729227
Nova Scotia,3.9064341619044303,1.2682233959328384
Ontario,5.1187219466279625,1.351617605907016
Prince Edward Island,1.9338981234218253,1.1071227929111418
Quebec,22.195621096038895,2.7047558123288793
Saskatchewan,1.6469519227094003,0.8849010179578275
