City,MSE,MAE,Feature Importance
Alberta,2.7805182985527246,1.0795105963497518,[0.67303174 0.32696826]
British Columbia,2.9054647693936575,1.2860767491722416,[0.55583435 0.44416565]
Canada,1.7131053959024285,0.9145372082871126,[0.40169059 0.59830941]
Manitoba,5.490991913575089,1.3828450278360702,[0.51977289 0.48022711]
New Brunswick,1.2529460792587335,0.8697602185812456,[0.77852346 0.22147654]
Newfoundland and Labrador,3.4030371848862346,1.2353216359373393,[0.78794666 0.21205334]
Nova Scotia,0.9349966980907507,0.8346727997709905,[0.42245624 0.57754376]
Ontario,3.96139563610206,1.3662358084419095,[0.3794053 0.6205947]
Prince Edward Island,0.892467374693259,0.7661323337202504,[0.7645569 0.2354431]
Quebec,12.232125725424583,1.8035674075552608,[0.24752943 0.75247057]
Saskatchewan,0.8861533074693344,0.8031554875677428,[0.52495671 0.47504329]
