,REF_DATE,GEO,male population(1000),female population(1000),male labour force(1000),female labour force(1000),male fulltime employments(1000),female fulltime employments(1000),male unemployed(1000),female unemployed(1000),male unemployment rate(%),female unemployment rate(%),male participation rate(%),female participation rate(%),male employment rate(%),female employment rate(%),total population(1000),total labor force(1000),total fulltime employments(1000),total unemployed,total unemployment rate(%),total participation rate(%),total employment rate(%),covid cases,covid deaths,canada covid cases,canada covid deaths
0,2019-01,Alberta,1717.0,1711.3,1322.4,1134.8,1100.4,775.2,96.1,66.7,7.3,5.9,77.0,66.3,7.3,5.9,3428.3,2457.2,1550.4,162.8,6.601163842137503,71.65889507919377,6.601163842137503,0.0,0.0,0.0,0.0
1,2019-01,British Columbia,2064.8,2138.3,1459.5,1337.3,1186.9,889.5,70.7,59.5,4.8,4.4,70.7,62.5,4.8,4.4,4203.1,2796.8,1779.0,130.2,4.596502581427993,66.52830291927387,4.596502581427993,0.0,0.0,0.0,0.0
2,2019-01,Canada,15049.1,15430.5,10615.5,9507.0,8669.0,6652.8,645.7,503.0,6.1,5.3,70.5,61.6,6.1,5.3,30479.6,20122.5,13305.6,1148.7,5.694994684969619,65.99431587028701,5.694994684969619,0.0,0.0,0.0,0.0
3,2019-01,Manitoba,513.3,521.4,377.4,324.9,306.7,222.0,24.1,16.1,6.4,5.0,73.5,62.3,6.4,5.0,1034.6999999999998,702.3,444.0,40.2,5.694520150768339,67.85616120614671,5.694520150768339,0.0,0.0,0.0,0.0
4,2019-01,New Brunswick,313.0,326.3,202.2,192.5,164.8,142.2,19.2,14.0,9.5,7.3,64.6,59.0,9.5,7.3,639.3,394.7,284.4,33.2,8.37711559518223,61.74174878773659,8.37711559518223,0.0,0.0,0.0,0.0
5,2019-01,Newfoundland and Labrador,219.6,226.6,141.6,123.7,107.3,90.4,20.2,11.2,14.3,9.1,64.5,54.6,14.3,9.1,446.2,265.3,180.8,31.4,11.659211116091438,59.472344240251005,11.659211116091438,0.0,0.0,0.0,0.0
6,2019-01,Nova Scotia,386.8,414.1,252.2,244.6,204.0,172.6,21.3,13.8,8.4,5.6,65.2,59.1,8.4,5.6,800.9000000000001,496.8,345.2,35.1,6.952278686477712,62.04603570982644,6.952278686477712,0.0,0.0,0.0,0.0
7,2019-01,Ontario,5862.9,6086.9,4101.9,3679.3,3332.1,2618.0,244.2,194.7,6.0,5.3,70.0,60.4,6.0,5.3,11949.8,7781.2,5236.0,438.9,5.643439220740096,65.11002359872131,5.643439220740096,0.0,0.0,0.0,0.0
8,2019-01,Prince Edward Island,63.0,65.6,43.9,41.6,34.8,31.1,5.4,3.2,12.3,7.7,69.7,63.4,12.3,7.7,128.6,85.5,62.2,8.600000000000001,9.953499222395024,66.48631415241057,9.953499222395024,0.0,0.0,0.0,0.0
9,2019-01,Quebec,3466.1,3501.8,2386.1,2149.3,1958.6,1516.7,127.0,108.4,5.3,5.0,68.8,61.4,5.3,5.0,6967.9,4535.4,3033.4,235.4,5.149231475767448,65.08104306893038,5.149231475767448,0.0,0.0,0.0,0.0
10,2019-01,Saskatchewan,442.6,438.2,328.2,278.9,273.4,195.0,17.5,15.4,5.3,5.5,74.2,63.6,5.3,5.5,880.8,607.0999999999999,390.0,32.9,5.399500454132607,68.92647593097185,5.399500454132607,0.0,0.0,0.0,0.0
11,2019-02,Alberta,1718.6,1713.2,1324.0,1144.0,1091.3,789.0,102.6,73.1,7.7,6.4,77.0,66.8,7.7,6.4,3431.8,2468.0,1578.0,175.7,7.051022786875691,71.9080249431785,7.051022786875691,0.0,0.0,0.0,0.0
12,2019-02,British Columbia,2067.1,2140.8,1459.4,1344.3,1188.0,897.7,65.6,61.1,4.5,4.5,70.6,62.8,4.5,4.5,4207.9,2803.7,1795.4,126.7,4.5,66.63169276836427,4.5,0.0,0.0,0.0,0.0
13,2019-02,Canada,15063.9,15444.2,10639.6,9548.4,8692.8,6688.7,664.9,498.0,6.2,5.2,70.6,61.8,6.2,5.2,30508.1,20188.0,13377.4,1162.9,5.693767229030979,66.14515161547261,5.693767229030979,0.0,0.0,0.0,0.0
14,2019-02,Manitoba,513.5,521.7,375.8,322.1,308.9,221.0,23.1,15.0,6.1,4.7,73.2,61.7,6.1,4.7,1035.2,697.9000000000001,442.0,38.1,5.394455177743431,67.40445324574962,5.394455177743431,0.0,0.0,0.0,0.0
15,2019-02,New Brunswick,313.2,326.5,205.0,191.9,163.7,141.7,20.1,14.8,9.8,7.7,65.5,58.8,9.8,7.7,639.7,396.9,283.4,34.900000000000006,8.728169454431765,62.08035016413943,8.728169454431765,0.0,0.0,0.0,0.0
16,2019-02,Newfoundland and Labrador,219.5,226.6,141.4,124.0,108.9,90.5,19.9,11.9,14.1,9.6,64.4,54.7,14.1,9.6,446.1,265.4,181.0,31.8,11.814189643577672,59.47280878726743,11.814189643577672,0.0,0.0,0.0,0.0
17,2019-02,Nova Scotia,387.1,414.4,249.0,245.7,204.0,172.2,19.6,13.9,7.9,5.7,64.3,59.3,7.9,5.7,801.5,494.7,344.4,33.5,6.762532751091704,61.71484716157205,6.762532751091704,0.0,0.0,0.0,0.0
18,2019-02,Ontario,5869.9,6093.2,4114.1,3701.5,3361.9,2631.3,246.5,191.7,6.0,5.2,70.1,60.7,6.0,5.2,11963.1,7815.6,5262.6,438.2,5.592533707818209,65.31227106686394,5.592533707818209,0.0,0.0,0.0,0.0
19,2019-02,Prince Edward Island,63.1,65.7,44.6,41.6,34.9,31.0,5.5,3.0,12.3,7.2,70.7,63.3,12.3,7.2,128.8,86.2,62.0,8.5,9.698524844720495,66.9253105590062,9.698524844720495,0.0,0.0,0.0,0.0
20,2019-02,Quebec,3469.0,3503.8,2398.6,2153.6,1958.6,1519.8,142.4,97.7,5.9,4.5,69.1,61.5,5.9,4.5,6972.8,4552.2,3039.6,240.1,5.19650642496558,65.28103487838459,5.19650642496558,0.0,0.0,0.0,0.0
21,2019-02,Saskatchewan,442.8,438.4,327.7,279.9,272.6,194.5,19.7,15.7,6.0,5.6,74.0,63.8,6.0,5.6,881.2,607.5999999999999,389.0,35.4,5.800998638220607,68.92546527462551,5.800998638220607,0.0,0.0,0.0,0.0
22,2019-03,Alberta,1720.6,1715.3,1318.5,1130.6,1097.0,791.1,96.3,70.8,7.3,6.3,76.6,65.9,7.3,6.3,3435.9,2449.1,1582.2,167.1,6.800771268081143,71.25825256846824,6.800771268081143,0.0,0.0,0.0,0.0
23,2019-03,British Columbia,2070.3,2144.0,1462.2,1345.2,1186.0,901.4,70.8,66.3,4.8,4.9,70.6,62.7,4.8,4.9,4214.3,2807.4,1802.8,137.1,4.85087440381558,66.58092209856915,4.85087440381558,0.0,0.0,0.0,0.0
24,2019-03,Canada,15081.8,15460.6,10643.8,9527.8,8701.4,6682.5,663.0,519.0,6.2,5.4,70.6,61.6,6.2,5.4,30542.4,20171.6,13365.0,1182.0,5.795039027712295,66.0441890617633,5.795039027712295,0.0,0.0,0.0,0.0
25,2019-03,Manitoba,513.9,522.1,375.0,321.8,309.3,220.4,20.3,15.7,5.4,4.9,73.0,61.6,5.4,4.9,1036.0,696.8,440.8,36.0,5.148021235521236,67.25488416988418,5.148021235521236,0.0,0.0,0.0,0.0
26,2019-03,New Brunswick,313.5,326.7,205.8,190.8,166.0,141.0,20.5,11.4,10.0,6.0,65.6,58.4,10.0,6.0,640.2,396.6,282.0,31.9,7.958762886597937,61.92577319587628,7.958762886597937,0.0,0.0,0.0,0.0
27,2019-03,Newfoundland and Labrador,219.4,226.5,140.3,124.9,107.0,89.0,20.4,12.1,14.5,9.7,63.9,55.1,14.5,9.7,445.9,265.20000000000005,178.0,32.5,12.061785153621887,59.4299394483068,12.061785153621887,0.0,0.0,0.0,0.0
28,2019-03,Nova Scotia,387.4,414.7,249.9,244.7,202.0,170.2,19.8,12.8,7.9,5.2,64.5,59.0,7.9,5.2,802.0999999999999,494.6,340.4,32.6,6.504051863857375,61.65640194489466,6.504051863857375,0.0,0.0,0.0,0.0
29,2019-03,Ontario,5878.2,6100.8,4125.4,3701.1,3377.9,2624.5,250.0,212.2,6.1,5.7,70.2,60.7,6.1,5.7,11979.0,7826.5,5249.0,462.2,5.896283496118207,65.36173303280742,5.896283496118207,0.0,0.0,0.0,0.0
30,2019-03,Prince Edward Island,63.3,65.8,44.8,41.6,35.5,31.2,4.8,3.0,10.7,7.2,70.8,63.2,10.7,7.2,129.1,86.4,62.4,7.8,8.916111541440744,66.92641363284275,8.916111541440744,0.0,0.0,0.0,0.0
31,2019-03,Quebec,3472.3,3506.1,2391.8,2149.4,1944.0,1518.5,142.8,101.0,6.0,4.7,68.9,61.3,6.0,4.7,6978.4,4541.200000000001,3037.0,243.8,5.346851713859911,65.08159463487334,5.346851713859911,0.0,0.0,0.0,0.0
32,2019-03,Saskatchewan,442.9,438.4,330.2,277.7,276.8,195.2,17.2,13.9,5.2,5.0,74.6,63.3,5.2,5.0,881.3,607.9,390.4,31.1,5.100510609327131,68.97884942698286,5.100510609327131,0.0,0.0,0.0,0.0
33,2019-04,Alberta,1722.9,1718.1,1334.3,1142.4,1103.4,792.6,90.8,69.0,6.8,6.0,77.4,66.5,6.8,6.0,3441.0,2476.7,1585.2,159.8,6.400557977332171,71.95760244115084,6.400557977332171,0.0,0.0,0.0,0.0
34,2019-04,British Columbia,2074.7,2148.6,1465.7,1346.6,1181.9,922.4,71.1,64.1,4.9,4.8,70.6,62.7,4.9,4.8,4223.299999999999,2812.3,1844.8,135.2,4.849125091752896,66.58088224847869,4.849125091752896,0.0,0.0,0.0,0.0
