City,MSE,MAE
Alberta,20.528759002685547,2.9751181602478027
British Columbia,8.72420883178711,2.2558653354644775
Canada,19.176694869995117,2.7635138034820557
Manitoba,6.7887654304504395,2.214123010635376
New Brunswick,22.10198402404785,4.556486129760742
Newfoundland and Labrador,64.85124969482422,7.999100208282471
Nova Scotia,4.804014682769775,1.6032081842422485
Ontario,27.601118087768555,4.925597667694092
Prince Edward Island,11.60998249053955,3.148282051086426
Quebec,2.774604082107544,1.130753993988037
Saskatchewan,19.77561378479004,3.444467306137085
