,REF_DATE,GEO,Population,Unemployment,Unemployment rate
0,2019-01,Alberta,3428.3,162.8,0.047487092728174314
1,2019-01,British Columbia,4203.1,130.2,0.03097713592348504
2,2019-01,Canada,30479.6,1148.7,0.037687502460662214
3,2019-01,Manitoba,1034.6999999999998,40.2,0.0388518411133662
4,2019-01,New Brunswick,639.3,33.2,0.05193180040669483
5,2019-01,Newfoundland and Labrador,446.2,31.4,0.07037203047960555
6,2019-01,Nova Scotia,800.9000000000001,35.1,0.04382569609189661
7,2019-01,Ontario,11949.8,438.9,0.03672864817821219
8,2019-01,Prince Edward Island,128.6,8.600000000000001,0.06687402799377917
9,2019-01,Quebec,6967.9,235.4,0.033783492874467205
10,2019-01,Saskatchewan,880.8,32.9,0.037352406902815626
11,2019-02,Alberta,3431.8,175.7,0.051197622239058216
12,2019-02,British Columbia,4207.9,126.69999999999999,0.030110031131918534
13,2019-02,Canada,30508.1,1162.9,0.038117745778989846
14,2019-02,Manitoba,1035.2,38.1,0.036804482225656875
15,2019-02,New Brunswick,639.7,34.900000000000006,0.0545568235110208
16,2019-02,Newfoundland and Labrador,446.1,31.799999999999997,0.07128446536650974
17,2019-02,Nova Scotia,801.5,33.5,0.041796631316281974
18,2019-02,Ontario,11963.099999999999,438.2,0.036629301769608213
19,2019-02,Prince Edward Island,128.8,8.5,0.06599378881987578
20,2019-02,Quebec,6972.8,240.10000000000002,0.03443379990821478
21,2019-02,Saskatchewan,881.2,35.4,0.040172492056286875
22,2019-03,Alberta,3435.8999999999996,167.1,0.04863354579586135
23,2019-03,British Columbia,4214.3,137.1,0.03253209311154877
24,2019-03,Canada,30542.4,1182.0,0.0387002986012887
25,2019-03,Manitoba,1036.0,36.0,0.03474903474903475
26,2019-03,New Brunswick,640.2,31.9,0.04982817869415807
27,2019-03,Newfoundland and Labrador,445.9,32.5,0.0728862973760933
28,2019-03,Nova Scotia,802.0999999999999,32.6,0.04064331130781699
29,2019-03,Ontario,11979.0,462.2,0.03858418899741214
30,2019-03,Prince Edward Island,129.1,7.8,0.060418280402788536
31,2019-03,Quebec,6978.4,243.8,0.03493637510030953
32,2019-03,Saskatchewan,881.3,31.1,0.03528877794167707
33,2019-04,Alberta,3441.0,159.8,0.04643998837547225
34,2019-04,British Columbia,4223.299999999999,135.2,0.03201288092250137
35,2019-04,Canada,30589.4,1163.6999999999998,0.038042589916768545
36,2019-04,Manitoba,1037.0,35.599999999999994,0.03432979749276759
37,2019-04,New Brunswick,641.0999999999999,32.3,0.05038215566994229
38,2019-04,Newfoundland and Labrador,445.6,31.700000000000003,0.07114003590664274
39,2019-04,Nova Scotia,803.2,35.900000000000006,0.04469621513944223
40,2019-04,Ontario,12000.8,470.20000000000005,0.039180721285247654
41,2019-04,Prince Edward Island,129.7,7.699999999999999,0.059367771781033155
42,2019-04,Quebec,6986.0,221.7,0.0317348983681649
43,2019-04,Saskatchewan,881.7,33.7,0.03822161733015765
44,2019-05,Alberta,3445.5,166.2,0.04823683064867218
45,2019-05,British Columbia,4230.700000000001,126.5,0.029900489280733678
46,2019-05,Canada,30630.4,1102.6,0.03599691809444212
47,2019-05,Manitoba,1038.1,35.9,0.034582410172430404
48,2019-05,New Brunswick,641.8,29.8,0.04643191025241509
49,2019-05,Newfoundland and Labrador,445.6,32.2,0.072262118491921
50,2019-05,Nova Scotia,804.0999999999999,34.5,0.04290511130456411
51,2019-05,Ontario,12019.9,408.5,0.033985307698067374
52,2019-05,Prince Edward Island,130.1,7.5,0.057647963105303617
53,2019-05,Quebec,6992.299999999999,229.4,0.032807516839952526
54,2019-05,Saskatchewan,882.3,32.0,0.0362688427972345
55,2019-06,Alberta,3450.6000000000004,165.3,0.047904712223961046
56,2019-06,British Columbia,4238.2,133.5,0.031499221367561704
57,2019-06,Canada,30674.9,1131.2,0.036877055833922846
58,2019-06,Manitoba,1039.6,38.6,0.037129665255867646
59,2019-06,New Brunswick,642.4000000000001,32.9,0.05121419676214196
60,2019-06,Newfoundland and Labrador,445.7,33.3,0.07471393313888265
61,2019-06,Nova Scotia,805.5,35.4,0.04394785847299813
62,2019-06,Ontario,12040.900000000001,425.79999999999995,0.03536280510593061
63,2019-06,Prince Edward Island,130.3,7.9,0.060629316960859554
64,2019-06,Quebec,6998.9,227.9,0.0325622597836803
65,2019-06,Saskatchewan,883.0,30.700000000000003,0.0347678369195923
66,2019-07,Alberta,3456.6000000000004,176.9,0.05117745761731181
67,2019-07,British Columbia,4247.1,132.4,0.03117421299239481
68,2019-07,Canada,30727.0,1167.3,0.03798939043837667
69,2019-07,Manitoba,1041.1,40.8,0.039189318989530306
70,2019-07,New Brunswick,643.3,36.5,0.05673869112389243
71,2019-07,Newfoundland and Labrador,445.6,33.2,0.07450628366247757
72,2019-07,Nova Scotia,806.6,37.3,0.046243491197619634
73,2019-07,Ontario,12065.2,446.7,0.037023837151476974
74,2019-07,Prince Edward Island,130.7,7.6,0.05814843152257077
75,2019-07,Quebec,7006.9,221.7,0.03164024033452739
76,2019-07,Saskatchewan,884.0,34.2,0.038687782805429866
77,2019-08,Alberta,3461.2,190.39999999999998,0.05500982318271119
78,2019-08,British Columbia,4253.1,142.3,0.033457948320048905
79,2019-08,Canada,30763.9,1174.4,0.03817461375183251
80,2019-08,Manitoba,1042.0,37.4,0.035892514395393475
81,2019-08,New Brunswick,644.0,33.6,0.052173913043478265
82,2019-08,Newfoundland and Labrador,445.7,33.9,0.07606013013237603
83,2019-08,Nova Scotia,807.8,40.1,0.04964100024758604
84,2019-08,Ontario,12082.7,445.1,0.036837792877419784
85,2019-08,Prince Edward Island,131.0,7.6,0.05801526717557252
86,2019-08,Quebec,7011.700000000001,211.6,0.03017813083845572
87,2019-08,Saskatchewan,884.7,32.5,0.03673561659319543
88,2019-09,Alberta,3468.0,164.5,0.04743367935409458
89,2019-09,British Columbia,4260.1,142.9,0.0335438135255041
90,2019-09,Canada,30808.7,1145.6,0.03718430183681882
91,2019-09,Manitoba,1043.5,35.4,0.03392429324389075
92,2019-09,New Brunswick,644.5,31.799999999999997,0.04934057408844065
93,2019-09,Newfoundland and Labrador,445.6,29.200000000000003,0.06552962298025135
94,2019-09,Nova Scotia,809.0,36.900000000000006,0.04561186650185415
95,2019-09,Ontario,12104.5,426.8,0.035259614193068695
96,2019-09,Prince Edward Island,131.2,7.5,0.057164634146341466
97,2019-09,Quebec,7016.6,236.6,0.03372003534475387
98,2019-09,Saskatchewan,885.7,34.099999999999994,0.0385006209777577
99,2019-10,Alberta,3473.3,161.1,0.04638240290213917
100,2019-10,British Columbia,4265.0,140.89999999999998,0.03303634232121922
101,2019-10,Canada,30842.5,1143.8,0.037085190889195103
102,2019-10,Manitoba,1044.3,37.3,0.03571770564014172
103,2019-10,New Brunswick,644.9,32.6,0.05055047294154133
104,2019-10,Newfoundland and Labrador,445.79999999999995,30.799999999999997,0.06908927770300584
105,2019-10,Nova Scotia,809.8,40.6,0.050135836008891085
106,2019-10,Ontario,12120.8,426.7,0.03520394693419576
107,2019-10,Prince Edward Island,131.2,7.2,0.05487804878048781
108,2019-10,Quebec,7021.0,234.39999999999998,0.033385557612875656
109,2019-10,Saskatchewan,886.4,32.3,0.036439530685920575
110,2019-11,Alberta,3478.2,180.3,0.051837157150250134
111,2019-11,British Columbia,4269.4,147.4,0.03452475757717712
112,2019-11,Canada,30872.8,1201.3,0.03891127464952968
113,2019-11,Manitoba,1045.0,38.8,0.03712918660287081
114,2019-11,New Brunswick,645.3,30.9,0.04788470478847048
115,2019-11,Newfoundland and Labrador,445.79999999999995,31.5,0.07065948855989233
116,2019-11,Nova Scotia,810.5,40.7,0.05021591610117212
117,2019-11,Ontario,12135.2,440.7,0.0363158415188872
118,2019-11,Prince Edward Island,131.3,6.8,0.05178979436405178
119,2019-11,Quebec,7025.200000000001,245.89999999999998,0.035002562204634734
120,2019-11,Saskatchewan,886.9,38.5,0.043409629044988164
121,2019-12,Alberta,3482.2,176.8,0.05077250014358739
122,2019-12,British Columbia,4273.3,139.3,0.03259775817284066
123,2019-12,Canada,30898.1,1144.2,0.03703140322544105
124,2019-12,Manitoba,1045.4,33.5,0.03204515018174861
125,2019-12,New Brunswick,645.5,29.6,0.04585592563903951
126,2019-12,Newfoundland and Labrador,445.79999999999995,32.2,0.07222969941677884
127,2019-12,Nova Scotia,811.0,41.099999999999994,0.05067817509247841
128,2019-12,Ontario,12146.8,417.1,0.03433826192906774
129,2019-12,Prince Edward Island,131.4,6.8999999999999995,0.05251141552511415
130,2019-12,Quebec,7029.2,230.5,0.032791782848688326
131,2019-12,Saskatchewan,887.2,37.3,0.04204238052299368
132,2020-01,Alberta,3486.9,178.89999999999998,0.051306317932834314
133,2020-01,British Columbia,4277.1,133.0,0.031095835963620207
134,2020-01,Canada,30924.199999999997,1118.3,0.036162616979582334
135,2020-01,Manitoba,1046.0,35.5,0.033938814531548754
136,2020-01,New Brunswick,645.8,30.8,0.04769278414369774
137,2020-01,Newfoundland and Labrador,445.7,31.700000000000003,0.07112407448956698
138,2020-01,Nova Scotia,811.5,39.0,0.04805914972273567
139,2020-01,Ontario,12158.9,409.3,0.03366258460880508
140,2020-01,Prince Edward Island,131.5,6.5,0.049429657794676805
141,2020-01,Quebec,7033.3,217.7,0.030952753330584504
142,2020-01,Saskatchewan,887.6,36.0,0.040558810274898605
143,2020-02,Alberta,3491.0,180.7,0.05176167287310226
144,2020-02,British Columbia,4281.4,153.8,0.03592282898117439
145,2020-02,Canada,30949.1,1170.5,0.03782016278340889
146,2020-02,Manitoba,1046.4,36.4,0.034785932721712536
147,2020-02,New Brunswick,645.8,29.1,0.045060390213688455
148,2020-02,Newfoundland and Labrador,445.79999999999995,32.0,0.07178106774338269
149,2020-02,Nova Scotia,811.8,41.4,0.05099778270509978
150,2020-02,Ontario,12170.099999999999,442.6,0.036367819492033764
151,2020-02,Prince Edward Island,131.7,7.3,0.0554290053151101
152,2020-02,Quebec,7037.0,207.8,0.029529629103311073
153,2020-02,Saskatchewan,888.0999999999999,39.5,0.04447697331381602
154,2020-03,Alberta,3495.8999999999996,207.60000000000002,0.05938384965245003
155,2020-03,British Columbia,4286.2,205.9,0.04803788903924222
156,2020-03,Canada,30978.7,1647.8,0.05319138633964627
157,2020-03,Manitoba,1047.2,46.5,0.044404125286478226
158,2020-03,New Brunswick,646.1,35.4,0.054790280142392817
159,2020-03,Newfoundland and Labrador,445.79999999999995,29.3,0.06572454015253477
160,2020-03,Nova Scotia,812.0999999999999,47.8,0.05885974633665805
161,2020-03,Ontario,12184.2,638.8,0.05242855501387041
162,2020-03,Prince Edward Island,131.9,7.9,0.05989385898407885
163,2020-03,Quebec,7040.7,384.5,0.05461104719701166
164,2020-03,Saskatchewan,888.7,44.099999999999994,0.049623044897040613
165,2020-04,Alberta,3499.2,293.4,0.0838477366255144
166,2020-04,British Columbia,4288.700000000001,301.6,0.07032434070930585
167,2020-04,Canada,30994.3,2540.1000000000004,0.0819537785980003
168,2020-04,Manitoba,1047.2,74.30000000000001,0.0709511077158136
169,2020-04,New Brunswick,646.4,51.900000000000006,0.08029084158415843
170,2020-04,Newfoundland and Labrador,445.7,35.9,0.08054745344402064
171,2020-04,Nova Scotia,812.2,57.0,0.07017975868012805
172,2020-04,Ontario,12191.3,864.3,0.07089481843609788
173,2020-04,Prince Edward Island,132.1,8.8,0.06661619984859955
