REF_DATE,GEO,male population(1000),female population(1000),male labour force(1000),female labour force(1000),male fulltime employments(1000),female fulltime employments(1000),male unemployed(1000),female unemployed(1000),male unemployment rate(%),female unemployment rate(%),male participation rate(%),female participation rate(%),male employment rate(%),female employment rate(%)
2019-01,Alberta,1717.0,1711.3,1322.4,1134.8,1100.4,775.2,96.1,66.7,7.3,5.9,77.0,66.3,7.3,5.9
2019-01,British Columbia,2064.8,2138.3,1459.5,1337.3,1186.9,889.5,70.7,59.5,4.8,4.4,70.7,62.5,4.8,4.4
2019-01,Canada,15049.1,15430.5,10615.5,9507.0,8669.0,6652.8,645.7,503.0,6.1,5.3,70.5,61.6,6.1,5.3
2019-01,Manitoba,513.3,521.4,377.4,324.9,306.7,222.0,24.1,16.1,6.4,5.0,73.5,62.3,6.4,5.0
2019-01,New Brunswick,313.0,326.3,202.2,192.5,164.8,142.2,19.2,14.0,9.5,7.3,64.6,59.0,9.5,7.3
2019-01,Newfoundland and Labrador,219.6,226.6,141.6,123.7,107.3,90.4,20.2,11.2,14.3,9.1,64.5,54.6,14.3,9.1
2019-01,Nova Scotia,386.8,414.1,252.2,244.6,204.0,172.6,21.3,13.8,8.4,5.6,65.2,59.1,8.4,5.6
2019-01,Ontario,5862.9,6086.9,4101.9,3679.3,3332.1,2618.0,244.2,194.7,6.0,5.3,70.0,60.4,6.0,5.3
2019-01,Prince Edward Island,63.0,65.6,43.9,41.6,34.8,31.1,5.4,3.2,12.3,7.7,69.7,63.4,12.3,7.7
2019-01,Quebec,3466.1,3501.8,2386.1,2149.3,1958.6,1516.7,127.0,108.4,5.3,5.0,68.8,61.4,5.3,5.0
2019-01,Saskatchewan,442.6,438.2,328.2,278.9,273.4,195.0,17.5,15.4,5.3,5.5,74.2,63.6,5.3,5.5
2019-02,Alberta,1718.6,1713.2,1324.0,1144.0,1091.3,789.0,102.6,73.1,7.7,6.4,77.0,66.8,7.7,6.4
2019-02,British Columbia,2067.1,2140.8,1459.4,1344.3,1188.0,897.7,65.6,61.1,4.5,4.5,70.6,62.8,4.5,4.5
2019-02,Canada,15063.9,15444.2,10639.6,9548.4,8692.8,6688.7,664.9,498.0,6.2,5.2,70.6,61.8,6.2,5.2
2019-02,Manitoba,513.5,521.7,375.8,322.1,308.9,221.0,23.1,15.0,6.1,4.7,73.2,61.7,6.1,4.7
2019-02,New Brunswick,313.2,326.5,205.0,191.9,163.7,141.7,20.1,14.8,9.8,7.7,65.5,58.8,9.8,7.7
2019-02,Newfoundland and Labrador,219.5,226.6,141.4,124.0,108.9,90.5,19.9,11.9,14.1,9.6,64.4,54.7,14.1,9.6
2019-02,Nova Scotia,387.1,414.4,249.0,245.7,204.0,172.2,19.6,13.9,7.9,5.7,64.3,59.3,7.9,5.7
2019-02,Ontario,5869.9,6093.2,4114.1,3701.5,3361.9,2631.3,246.5,191.7,6.0,5.2,70.1,60.7,6.0,5.2
